"Toolchain","QtVersion","Variant","Scenario","Round","ActionCount","Configuration","Jobs","ElapsedMs","MocFileCount","RecompiledObjectCount","RecompiledFunctionObjectCount"
"MSVC2022-x64","5.12.10","direct_binding","clean","1","200","Debug","12","19293.42","200","202","200"
"MSVC2022-x64","5.12.10","direct_binding","noop","1","200","Debug","12","93.341","200","0","0"
"MSVC2022-x64","5.12.10","direct_binding","single_implementation","1","200","Debug","12","724.486","200","1","1"
"MSVC2022-x64","5.12.10","direct_binding","single_function_header","1","200","Debug","12","1563.184","200","3","1"
"MSVC2022-x64","5.12.10","direct_binding","ui_header","1","200","Debug","12","1466.195","200","1","0"
"MSVC2022-x64","5.12.10","direct_binding","business_header","1","200","Debug","12","17189.822","200","202","200"
"MSVC2022-x64","5.12.10","string_registry","clean","1","200","Debug","12","7203.288","0","204","200"
"MSVC2022-x64","5.12.10","string_registry","noop","1","200","Debug","12","40.357","0","0","0"
"MSVC2022-x64","5.12.10","string_registry","single_implementation","1","200","Debug","12","344.061","0","1","1"
"MSVC2022-x64","5.12.10","string_registry","single_function_header","1","200","Debug","12","365.098","0","1","1"
"MSVC2022-x64","5.12.10","string_registry","ui_header","1","200","Debug","12","1218.398","0","2","0"
"MSVC2022-x64","5.12.10","string_registry","business_header","1","200","Debug","12","7151.912","0","201","200"
"MSVC2022-x64","5.12.10","string_registry","clean","2","200","Debug","12","7243.863","0","204","200"
"MSVC2022-x64","5.12.10","string_registry","noop","2","200","Debug","12","40.5","0","0","0"
"MSVC2022-x64","5.12.10","string_registry","single_implementation","2","200","Debug","12","353.16","0","1","1"
"MSVC2022-x64","5.12.10","string_registry","single_function_header","2","200","Debug","12","370.365","0","1","1"
"MSVC2022-x64","5.12.10","string_registry","ui_header","2","200","Debug","12","1228.089","0","2","0"
"MSVC2022-x64","5.12.10","string_registry","business_header","2","200","Debug","12","6972.788","0","201","200"
"MSVC2022-x64","5.12.10","direct_binding","clean","2","200","Debug","12","18731.796","200","202","200"
"MSVC2022-x64","5.12.10","direct_binding","noop","2","200","Debug","12","92.943","200","0","0"
"MSVC2022-x64","5.12.10","direct_binding","single_implementation","2","200","Debug","12","715.702","200","1","1"
"MSVC2022-x64","5.12.10","direct_binding","single_function_header","2","200","Debug","12","1544.76","200","3","1"
"MSVC2022-x64","5.12.10","direct_binding","ui_header","2","200","Debug","12","1455.713","200","1","0"
"MSVC2022-x64","5.12.10","direct_binding","business_header","2","200","Debug","12","17148.578","200","202","200"
"MSVC2022-x64","5.12.10","direct_binding","clean","3","200","Debug","12","17749.72","200","202","200"
"MSVC2022-x64","5.12.10","direct_binding","noop","3","200","Debug","12","89.595","200","0","0"
"MSVC2022-x64","5.12.10","direct_binding","single_implementation","3","200","Debug","12","679.074","200","1","1"
"MSVC2022-x64","5.12.10","direct_binding","single_function_header","3","200","Debug","12","1459.148","200","3","1"
"MSVC2022-x64","5.12.10","direct_binding","ui_header","3","200","Debug","12","1381.186","200","1","0"
"MSVC2022-x64","5.12.10","direct_binding","business_header","3","200","Debug","12","15494.32","200","202","200"
"MSVC2022-x64","5.12.10","string_registry","clean","3","200","Debug","12","6573.875","0","204","200"
"MSVC2022-x64","5.12.10","string_registry","noop","3","200","Debug","12","37.716","0","0","0"
"MSVC2022-x64","5.12.10","string_registry","single_implementation","3","200","Debug","12","323.922","0","1","1"
"MSVC2022-x64","5.12.10","string_registry","single_function_header","3","200","Debug","12","339.208","0","1","1"
"MSVC2022-x64","5.12.10","string_registry","ui_header","3","200","Debug","12","1135.497","0","2","0"
"MSVC2022-x64","5.12.10","string_registry","business_header","3","200","Debug","12","6481.38","0","201","200"
"MSVC2022-x64","5.12.10","string_registry","clean","4","200","Debug","12","6973.976","0","204","200"
"MSVC2022-x64","5.12.10","string_registry","noop","4","200","Debug","12","43.755","0","0","0"
"MSVC2022-x64","5.12.10","string_registry","single_implementation","4","200","Debug","12","329.676","0","1","1"
"MSVC2022-x64","5.12.10","string_registry","single_function_header","4","200","Debug","12","346.774","0","1","1"
"MSVC2022-x64","5.12.10","string_registry","ui_header","4","200","Debug","12","1362.554","0","2","0"
"MSVC2022-x64","5.12.10","string_registry","business_header","4","200","Debug","12","7240.805","0","201","200"
"MSVC2022-x64","5.12.10","direct_binding","clean","4","200","Debug","12","17575.187","200","202","200"
"MSVC2022-x64","5.12.10","direct_binding","noop","4","200","Debug","12","92.753","200","0","0"
"MSVC2022-x64","5.12.10","direct_binding","single_implementation","4","200","Debug","12","689.296","200","1","1"
"MSVC2022-x64","5.12.10","direct_binding","single_function_header","4","200","Debug","12","1446.462","200","3","1"
"MSVC2022-x64","5.12.10","direct_binding","ui_header","4","200","Debug","12","1396.553","200","1","0"
"MSVC2022-x64","5.12.10","direct_binding","business_header","4","200","Debug","12","16228.503","200","202","200"
"MSVC2022-x64","5.12.10","direct_binding","clean","5","200","Debug","12","17381.432","200","202","200"
"MSVC2022-x64","5.12.10","direct_binding","noop","5","200","Debug","12","87.964","200","0","0"
"MSVC2022-x64","5.12.10","direct_binding","single_implementation","5","200","Debug","12","686.486","200","1","1"
"MSVC2022-x64","5.12.10","direct_binding","single_function_header","5","200","Debug","12","1441.164","200","3","1"
"MSVC2022-x64","5.12.10","direct_binding","ui_header","5","200","Debug","12","1375.901","200","1","0"
"MSVC2022-x64","5.12.10","direct_binding","business_header","5","200","Debug","12","16132.21","200","202","200"
"MSVC2022-x64","5.12.10","string_registry","clean","5","200","Debug","12","6672.693","0","204","200"
"MSVC2022-x64","5.12.10","string_registry","noop","5","200","Debug","12","37.46","0","0","0"
"MSVC2022-x64","5.12.10","string_registry","single_implementation","5","200","Debug","12","323.04","0","1","1"
"MSVC2022-x64","5.12.10","string_registry","single_function_header","5","200","Debug","12","339.194","0","1","1"
"MSVC2022-x64","5.12.10","string_registry","ui_header","5","200","Debug","12","1138.562","0","2","0"
"MSVC2022-x64","5.12.10","string_registry","business_header","5","200","Debug","12","6424.808","0","201","200"
